0,1,2,3,4,5,6,7,8
,,Fair value,,allocation %,,Fair value,,allocation %
,Quoted,,,,Quoted,,,
,in an active,,,,in an active,,,
USD m,market,Other,Total,,market,Other,Total,
Cash and cash equivalents,225,0,225,5,104,0,104,4
Bonds1,,0,,,,,,
"Domestic, AAA to BBB–","3,619",0,"3,619",83,"1,729",0,"1,729",69
"Domestic, below BBB–",7,0,7,0,0,0,0,0
"Foreign, AAA to BBB–",509,0,509,12,297,0,297,12
"Foreign, below BBB–",0,0,0,0,7,0,7,0
Investment funds,,,,,,,,
Equity,,,,,,,,
Domestic,9,3,12,0,19,3,22,1
Foreign,234,0,234,5,366,0,366,15
Bonds1,,,,,,,,
"Domestic, AAA to BBB–",310,38,348,8,367,90,457,18
"Domestic, below BBB–",6,0,6,0,1,0,1,0
"Foreign, AAA to BBB–",97,0,97,2,90,0,90,4
"Foreign, below BBB–",93,0,93,2,114,0,114,5
Real estate,,,,,,,,
Domestic,61,0,61,1,64,0,64,3
Foreign,4,12,16,0,6,31,36,1
Other,64,0,64,1,(280),0,(280),(11)
Repurchase agreements,(947),0,(947),(22),(612),0,(612),(25)
Other investments,15,5,20,0,66,27,94,4
Total fair value of plan assets,"4,306",58,"4,364",100,"2,336",151,"2,488",100
,"1 The bond credit ratings are primarily based on S&P’s credit ratings. Ratings AAA to BBB– and below BBB– represent investment grade and non-investment grade ratings, respectively. In cases where credit ratings",,,,,,,
