0,1,2,3,4,5,6,7,8
Note 27  Post-employment benefit plans (continued),,,,,,,,
Composition and fair value of plan assets (continued),,,,,,,,
UK defined benefit plans,,,,,,,,
,,,31.12.23,,,,31.12.22,
,,,,Plan asset,,,,Plan asset
,,Fair value,,allocation %,,Fair value,,allocation %
,Quoted,,,,Quoted,,,
,in an active,,,,in an active,,,
USD m,market,Other,Total,,market,Other,Total,
Cash and cash equivalents,225,0,225,5,104,0,104,4
Bonds1,,0,,,,,,
"Domestic, AAA to BBB–","3,619",0,"3,619",83,"1,729",0,"1,729",69
"Domestic, below BBB–",7,0,7,0,0,0,0,0
"Foreign, AAA to BBB–",509,0,509,12,297,0,297,12
"Foreign, below BBB–",0,0,0,0,7,0,7,0
Investment funds,,,,,,,,
Equity,,,,,,,,
Domestic,9,3,12,0,19,3,22,1
Foreign,234,0,234,5,366,0,366,15
Bonds1,,,,,,,,
"Domestic, AAA to BBB–",310,38,348,8,367,90,457,18
"Domestic, below BBB–",6,0,6,0,1,0,1,0
"Foreign, AAA to BBB–",97,0,97,2,90,0,90,4
"Foreign, below BBB–",93,0,93,2,114,0,114,5
Real estate,,,,,,,,
Domestic,61,0,61,1,64,0,64,3
Foreign,4,12,16,0,6,31,36,1
Other,64,0,64,1,(280),0,(280),(11)
Repurchase agreements,(947),0,(947),(22),(612),0,(612),(25)
Other investments,15,5,20,0,66,27,94,4
Total fair value of plan assets,"4,306",58,"4,364",100,"2,336",151,"2,488",100
,"1 The bond credit ratings are primarily based on S&P’s credit ratings. Ratings AAA to BBB– and below BBB– represent investment grade and non-investment grade ratings, respectively. In cases where credit ratings",,,,,,,
,"from other rating agencies were used, these were converted to the equivalent rating in S&P’s rating classification.",,,,,,,
US and German defined benefit plans,,,,,,,,
,,,31.12.23,,,,31.12.22,
,,,,Plan asset,,,,Plan asset
,,Fair value,,allocation %,,Fair value,,allocation %
,Quoted,,,,Quoted,,,
,in an active,,,,in an active,,,
USD m,market,Other,Total,,market,Other,Total,
Cash and cash equivalents,32,0,32,2,7,0,7,1
Equity,,,,,,,,
Domestic,54,0,54,3,55,0,55,5
Foreign,23,0,23,1,24,0,24,2
Bonds1,,,,,,,,
"Domestic, AAA to BBB–",308,0,308,17,359,0,359,35
"Domestic, below BBB–",3,0,3,0,4,0,4,0
"Foreign, AAA to BBB–",51,0,51,3,74,0,74,7
"Foreign, below BBB–",2,0,2,0,3,0,3,0
Investment funds,,,,,,,,
Equity,,,,,,,,
Domestic,51,0,51,3,27,0,27,3
Foreign,82,18,100,5,33,0,33,3
Bonds1,,,,,,,,
"Domestic, AAA to BBB–",552,300,853,46,266,0,266,26
"Domestic, below BBB–",172,41,213,12,109,0,109,10
"Foreign, AAA to BBB–",75,14,89,5,2,0,2,0
"Foreign, below BBB–",9,0,9,1,5,0,5,0
Real estate,,,,,,,,
Domestic,1,9,10,1,0,11,11,1
Foreign,2,0,2,0,0,0,0,0
Other,51,0,52,3,54,0,54,5
Other investments,(8),5,(3),0,5,1,6,1
Total fair value of plan assets,"1,461",388,"1,849",100,"1,027",12,"1,039",100
,"1 The bond credit ratings are primarily based on S&P’s credit ratings. Ratings AAA to BBB– and below BBB– represent investment grade and non-investment grade ratings, respectively. In cases where credit ratings",,,,,,,
,"from other rating agencies were used, these were converted to the equivalent rating in S&P’s rating classification.",,,,,,,
